2026-01-21T04:01:28.305859+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:01:28.318436+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:01:28.318627+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T04:01:28.491945+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:01:28.492149+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:01:28.492204+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:01:28.492256+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:01:28.492886+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:01:55.805967+0000 | INFO | bot_init:bot_init:34 | TESTIN
2026-01-21T04:01:55.811621+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:01:55.812009+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:01:55.812172+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
2026-01-21T04:01:55.812332+0000 | ERROR | __main__:run:50 | ❌ Ошибка при запуске бота: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:01:55.815787+0000 | ERROR | __main__:<module>:78 | 💥 Критическая ошибка: 'FitnessBotApp' object has no attribute 'bot_initializer'
2026-01-21T04:01:58.228873+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T04:01:58.237562+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T04:01:58.237743+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T04:01:58.547253+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T04:01:58.547412+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T04:01:58.547466+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T04:01:58.547523+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T04:01:58.548104+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T04:07:37.273670+0000 | INFO | bot_init:bot_init:34 | TESTIN
2026-01-21T04:07:37.274806+0000 | INFO | command_handlers:register_command_handlers:55 | Инициализация команд прошла успешно
2026-01-21T04:07:37.275090+0000 | INFO | message_handlers:register_message_handlers:48 | Инициализация сообщений прошла успешно
2026-01-21T04:07:37.275245+0000 | INFO | __main__:initialize:41 | ✅ Все компоненты инициализированы
